config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
backprop,0,0.9844097995545658,0.9630289532293987,0.8884187082405346,0.7723830734966592,0.9841870824053454,0.9674832962138085,0.9,0.0,0.0
backprop+noise,0,0.9821826280623608,0.9795100222717149,0.9612472160356347,0.9051224944320714,0.9815144766146995,0.9763919821826281,0.9543429844097997,0.0,0.0
interval const,0,0.9443207126948775,0.9004454342984409,0.7674832962138085,0.6162583518930957,0.9429844097995543,0.9367483296213808,0.9334075723830735,0.888641425389755,0.8195991091314031
interval inc,0,0.977728285077951,0.956347438752784,0.8752783964365257,0.7412026726057906,0.9768374164810691,0.9739420935412028,0.9616926503340759,0.933184855233853,0.8262806236080178
interval dec,0,0.7750556792873051,0.7405345211581291,0.6178173719376393,0.5253897550111358,0.778173719376392,0.7783964365256124,0.7806236080178173,0.7416481069042317,0.6547884187082406
weight-noise const,0,0.9844097995545658,0.9630289532293987,0.8971046770601336,0.777728285077951,0.9835189309576838,0.9701559020044546,0.9218262806236079,0.0,0.0
weight-noise inc,0,0.9866369710467706,0.9641425389755012,0.8924276169265033,0.776837416481069,0.9848552338530068,0.9748329621380847,0.9302895322939865,0.0,0.0
interval+box const,0,0.7305122494432071,0.7138084632516704,0.6726057906458798,0.6069042316258351,0.7249443207126948,0.722271714922049,0.7133630289532293,0.6815144766146993,0.6458797327394209
interval+box inc,0,0.9086859688195991,0.9037861915367482,0.8636971046770603,0.7806236080178174,0.9135857461024498,0.9069042316258352,0.9,0.8752783964365256,0.7928730512249443
interval+box dec,0,0.6325167037861915,0.6169265033407573,0.5859688195991091,0.5260579064587974,0.6325167037861916,0.6229398663697104,0.6184855233853007,0.5634743875278396,0.48997772828507796
backprop,1,0.9665924276169265,0.957683741648107,0.9042316258351892,0.7917594654788419,0.9670378619153676,0.9594654788418711,0.9231625835189309,0.0,0.0
backprop+noise,1,0.9755011135857461,0.9697104677060135,0.9545657015590201,0.8944320712694876,0.9726057906458798,0.9710467706013365,0.9583518930957686,0.0,0.0
interval const,1,0.933184855233853,0.9066815144766146,0.7790645879732739,0.6267260579064587,0.9374164810690422,0.9349665924276168,0.9351893095768373,0.9064587973273942,0.8641425389755011
interval inc,1,0.977728285077951,0.9632516703786193,0.8888641425389755,0.7645879732739421,0.978173719376392,0.9741648106904233,0.9672605790645881,0.9487750556792873,0.8329621380846325
interval dec,1,0.8084632516703786,0.7694877505567929,0.6418708240534522,0.5138084632516704,0.8062360801781738,0.8042316258351894,0.8044543429844098,0.7884187082405345,0.7661469933184856
weight-noise const,1,0.9710467706013363,0.959910913140312,0.9006681514476614,0.7877505567928731,0.971269487750557,0.9679287305122495,0.9374164810690422,0.0,0.0
weight-noise inc,1,0.9710467706013363,0.9596881959910915,0.9024498886414254,0.7884187082405345,0.9728285077951003,0.9688195991091314,0.9400890868596884,0.0,0.0
interval+box const,1,0.7416481069042317,0.7356347438752785,0.7097995545657015,0.6367483296213808,0.7443207126948777,0.7456570155902005,0.7440979955456571,0.7282850779510023,0.7037861915367484
interval+box inc,1,0.9420935412026726,0.9282850779510021,0.8964365256124722,0.7979955456570156,0.9400890868596881,0.9387527839643652,0.9262806236080177,0.9020044543429844,0.8307349665924276
interval+box dec,1,0.732739420935412,0.7191536748329622,0.6717149220489977,0.6073496659242761,0.7338530066815145,0.7311804008908687,0.722271714922049,0.7082405345211581,0.6659242761692651
backprop,2,0.9665924276169265,0.9594654788418711,0.8841870824053452,0.777728285077951,0.9674832962138085,0.9581291759465479,0.8879732739420936,0.0,0.0
backprop+noise,2,0.9799554565701559,0.9824053452115814,0.9605790645879733,0.9077951002227171,0.9832962138084633,0.9815144766146995,0.946325167037862,0.0,0.0
interval const,2,0.9398663697104677,0.9062360801781738,0.7866369710467706,0.64543429844098,0.939643652561247,0.9378619153674832,0.9336302895322939,0.9086859688195991,0.8619153674832962
interval inc,2,0.9732739420935412,0.9579064587973274,0.876837416481069,0.753674832962138,0.9726057906458798,0.9694877505567929,0.9616926503340757,0.9376391982182628,0.8552338530066815
interval dec,2,0.910913140311804,0.8679287305122495,0.7236080178173719,0.5908685968819599,0.9102449888641425,0.910913140311804,0.9015590200445434,0.8864142538975501,0.8240534521158129
weight-noise const,2,0.9710467706013363,0.9579064587973274,0.8850779510022271,0.7672605790645879,0.9719376391982184,0.9661469933184856,0.9398663697104676,0.0,0.0
weight-noise inc,2,0.9755011135857461,0.9561247216035635,0.8886414253897549,0.7743875278396437,0.9721603563474389,0.9643652561247217,0.9338530066815144,0.0,0.0
interval+box const,2,0.7728285077951003,0.7755011135857461,0.7425389755011136,0.6728285077951002,0.7815144766146994,0.811804008908686,0.7826280623608018,0.7282850779510023,0.6302895322939867
interval+box inc,2,0.933184855233853,0.9325167037861914,0.8866369710467705,0.8062360801781738,0.9347438752783963,0.9325167037861914,0.9211581291759465,0.9153674832962138,0.8195991091314031
interval+box dec,2,0.7884187082405345,0.7706013363028954,0.7209354120267261,0.6559020044543431,0.779510022271715,0.7879732739420936,0.7619153674832962,0.734966592427617,0.6636971046770601
backprop,3,0.9710467706013363,0.9476614699331847,0.8795100222717149,0.7534521158129176,0.969487750556793,0.9552338530066816,0.8984409799554566,0.0,0.0
backprop+noise,3,0.9732739420935412,0.9750556792873052,0.9532293986636973,0.890423162583519,0.9759465478841871,0.9739420935412028,0.9483296213808463,0.0,0.0
interval const,3,0.8552338530066815,0.8403118040089087,0.7405345211581291,0.6064587973273943,0.8559020044543428,0.8570155902004455,0.8561247216035636,0.8374164810690423,0.7884187082405345
interval inc,3,0.9732739420935412,0.9556792873051225,0.8714922048997774,0.7280623608017818,0.9732739420935413,0.970378619153675,0.9688195991091314,0.9398663697104677,0.7861915367483296
interval dec,3,0.89086859688196,0.8369710467706014,0.7020044543429844,0.5652561247216035,0.8879732739420936,0.8859688195991092,0.8817371937639198,0.8552338530066815,0.8129175946547884
weight-noise const,3,0.9443207126948775,0.9175946547884186,0.8394209354120268,0.7249443207126949,0.942316258351893,0.9253897550111357,0.8962138084632516,0.0,0.0
weight-noise inc,3,0.9732739420935412,0.9512249443207125,0.8850779510022273,0.7505567928730513,0.9719376391982184,0.966815144766147,0.9342984409799555,0.0,0.0
interval+box const,3,0.799554565701559,0.7913140311804009,0.7527839643652561,0.6708240534521158,0.7979955456570156,0.7973273942093542,0.7881959910913141,0.7728285077951003,0.7238307349665924
interval+box inc,3,0.8530066815144766,0.8461024498886415,0.8162583518930958,0.7496659242761693,0.8525612472160355,0.8478841870824054,0.8427616926503341,0.8262806236080178,0.7661469933184856
interval+box dec,3,0.6325167037861915,0.6278396436525611,0.5966592427616926,0.5376391982182629,0.6338530066815146,0.6345211581291761,0.619599109131403,0.6035634743875279,0.532293986636971
backprop,4,0.9821826280623608,0.9590200445434298,0.8971046770601336,0.764142538975501,0.9799554565701559,0.9679287305122495,0.9307349665924276,0.0,0.0
backprop+noise,4,0.9821826280623608,0.9748329621380847,0.9512249443207128,0.9048997772828509,0.9804008908685968,0.9708240534521158,0.9485523385300667,0.0,0.0
interval const,4,0.9376391982182628,0.8959910913140312,0.7614699331848552,0.6040089086859688,0.9383073496659241,0.9311804008908686,0.9273942093541201,0.9198218262806236,0.8663697104677061
interval inc,4,0.9732739420935412,0.9523385300668152,0.8619153674832962,0.7064587973273941,0.9728285077951003,0.9694877505567929,0.9634743875278395,0.9354120267260579,0.8262806236080178
interval dec,4,0.8329621380846325,0.7697104677060134,0.6407572383073497,0.5253897550111358,0.8320712694877507,0.8389755011135858,0.8256124721603563,0.8084632516703786,0.7594654788418709
weight-noise const,4,0.9844097995545658,0.9674832962138085,0.8955456570155901,0.7565701559020044,0.9815144766146995,0.9730512249443208,0.9369710467706014,0.0,0.0
weight-noise inc,4,0.9799554565701559,0.9657015590200446,0.9015590200445434,0.7636971046770602,0.979064587973274,0.9763919821826281,0.9574610244988865,0.0,0.0
interval+box const,4,0.7527839643652561,0.7427616926503341,0.7093541202672606,0.6271714922048999,0.7530066815144766,0.7534521158129175,0.7394209354120267,0.7149220489977728,0.6592427616926503
interval+box inc,4,0.9287305122494433,0.9200445434298439,0.875946547884187,0.788641425389755,0.9278396436525611,0.9198218262806236,0.9131403118040089,0.910913140311804,0.8307349665924276
interval+box dec,4,0.6369710467706013,0.6396436525612472,0.6097995545657016,0.5525612472160356,0.6394209354120267,0.64543429844098,0.6456570155902005,0.6146993318485523,0.579064587973274
