config,clean,clean_std,noise0.1,noise0.1_std,noise0.2,noise0.2_std,noise0.3,noise0.3_std,wnoise0.1,wnoise0.1_std,wnoise0.3,wnoise0.3_std,wnoise0.5,wnoise0.5_std,cert0.05,cert0.05_std,cert0.1,cert0.1_std
backprop,0.9742,0.0086,0.9574,0.0058,0.8907,0.01,0.7719,0.0144,0.9736,0.0079,0.9616,0.0057,0.9081,0.018,0.0,0.0,0.0,0.0
backprop+noise,0.9786,0.004,0.9763,0.0049,0.9562,0.0045,0.9005,0.0076,0.9788,0.0044,0.9747,0.0044,0.9512,0.005,0.0,0.0,0.0,0.0
interval const,0.922,0.0376,0.8899,0.0281,0.767,0.0178,0.6198,0.0169,0.9229,0.0375,0.9196,0.0351,0.9171,0.0342,0.8922,0.0326,0.8401,0.0348
interval inc,0.9751,0.0024,0.9571,0.004,0.8749,0.0097,0.7388,0.0227,0.9747,0.0026,0.9715,0.0024,0.9646,0.0033,0.939,0.006,0.8254,0.0249
interval dec,0.8437,0.0566,0.7969,0.0532,0.6652,0.0451,0.5441,0.0326,0.8429,0.0553,0.8437,0.0551,0.8388,0.0513,0.816,0.0567,0.7635,0.067
weight-noise const,0.971,0.0164,0.9532,0.0202,0.8836,0.0253,0.7629,0.0242,0.9701,0.0165,0.9605,0.0198,0.9265,0.0183,0.0,0.0,0.0,0.0
weight-noise inc,0.9773,0.0062,0.9594,0.0059,0.894,0.0077,0.7708,0.0143,0.9762,0.0057,0.9702,0.0052,0.9392,0.0108,0.0,0.0,0.0,0.0
interval+box const,0.7595,0.0273,0.7518,0.0313,0.7174,0.0317,0.6429,0.0285,0.7604,0.0293,0.7661,0.0373,0.7535,0.0314,0.7252,0.0328,0.6726,0.0396
interval+box inc,0.9131,0.0358,0.9061,0.0353,0.8678,0.0313,0.7846,0.0218,0.9138,0.0356,0.9092,0.0364,0.9007,0.0339,0.886,0.0368,0.808,0.0281
interval+box dec,0.6846,0.0721,0.6748,0.067,0.637,0.0575,0.5759,0.0545,0.6838,0.0685,0.6844,0.0719,0.6736,0.065,0.645,0.0731,0.5862,0.0784
