config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop,0,0.9844097995545658,0.9630289532293987,0.8884187082405346,0.7723830734966592,0.9841870824053454,0.9674832962138085,0.9,0.0,0.0,0.9844097995545658,0.9755011135857461,0.8374164810690423,0.18040089086859687,0.8685968819599109,0.27839643652561247,0.22939866369710468
backprop+L1 0.0001,0,0.977728285077951,0.9650334075723832,0.9164810690423162,0.8247216035634743,0.9759465478841871,0.9623608017817371,0.910467706013363,0.0,0.0,0.9755011135857461,0.9665924276169265,0.9020044543429844,0.23162583518930957,0.9732739420935412,0.6481069042316259,0.26057906458797325
backprop+L1 0.0003,0,0.9688195991091314,0.9536748329621382,0.9064587973273943,0.810022271714922,0.9703786191536748,0.9599109131403119,0.9028953229398663,0.0,0.0,0.9732739420935412,0.9688195991091314,0.8708240534521158,0.10690423162583519,0.9643652561247216,0.8084632516703786,0.31403118040089084
backprop+L1 0.001,0,0.9599109131403119,0.9447661469933184,0.901336302895323,0.8126948775055679,0.9561247216035635,0.9414253897550111,0.8721603563474387,0.0,0.0,0.9665924276169265,0.9510022271714922,0.7906458797327395,0.17371937639198218,0.9532293986636972,0.8351893095768375,0.5902004454342984
backprop+L1 0.003,0,0.9309576837416481,0.9193763919821827,0.8688195991091314,0.7746102449888641,0.9280623608017816,0.8982182628062361,0.800890868596882,0.0022271714922048997,0.0,0.9354120267260579,0.933184855233853,0.6369710467706013,0.10467706013363029,0.9309576837416481,0.933184855233853,0.799554565701559
weight-noise const,0,0.9844097995545658,0.9630289532293987,0.8971046770601336,0.777728285077951,0.9835189309576838,0.9701559020044546,0.9218262806236079,0.0,0.0,0.9821826280623608,0.9665924276169265,0.9354120267260579,0.15367483296213807,0.9131403118040089,0.3429844097995546,0.2182628062360802
interval const,0,0.9443207126948775,0.9004454342984409,0.7674832962138085,0.6162583518930957,0.9429844097995543,0.9367483296213808,0.9334075723830735,0.888641425389755,0.8195991091314031,0.9443207126948775,0.9265033407572383,0.8619153674832962,0.44097995545657015,0.9376391982182628,0.8930957683741648,0.8084632516703786
backprop,1,0.9665924276169265,0.957683741648107,0.9042316258351892,0.7917594654788419,0.9670378619153676,0.9594654788418711,0.9231625835189309,0.0,0.0,0.9665924276169265,0.9643652561247216,0.8084632516703786,0.0801781737193764,0.9643652561247216,0.5879732739420935,0.133630289532294
backprop+L1 0.0001,1,0.9710467706013363,0.9654788418708241,0.9231625835189309,0.8456570155902003,0.9714922048997774,0.9619153674832963,0.9338530066815146,0.0,0.0,0.9732739420935412,0.9599109131403119,0.9265033407572383,0.23608017817371937,0.9755011135857461,0.6525612472160356,0.532293986636971
backprop+L1 0.0003,1,0.9755011135857461,0.9610244988864144,0.9276169265033408,0.8476614699331847,0.9719376391982184,0.9636971046770603,0.9311804008908686,0.0,0.0,0.9755011135857461,0.9621380846325167,0.888641425389755,0.16258351893095768,0.9755011135857461,0.8574610244988864,0.47438752783964366
backprop+L1 0.001,1,0.9665924276169265,0.9501113585746103,0.9115812917594655,0.8271714922048998,0.9630289532293987,0.939643652561247,0.8550111358574611,0.0,0.0,0.9688195991091314,0.9599109131403119,0.8173719376391982,0.111358574610245,0.9665924276169265,0.8708240534521158,0.512249443207127
backprop+L1 0.003,1,0.9532293986636972,0.932739420935412,0.8897550111358574,0.7959910913140311,0.9483296213808463,0.9066815144766146,0.7400890868596882,0.0,0.0,0.9487750556792873,0.933184855233853,0.6859688195991092,0.22048997772828507,0.9532293986636972,0.9153674832962138,0.6815144766146993
weight-noise const,1,0.9710467706013363,0.959910913140312,0.9006681514476614,0.7877505567928731,0.971269487750557,0.9679287305122495,0.9374164810690422,0.0,0.0,0.9710467706013363,0.9576837416481069,0.7616926503340757,0.0779510022271715,0.9665924276169265,0.5968819599109132,0.133630289532294
interval const,1,0.933184855233853,0.9066815144766146,0.7790645879732739,0.6267260579064587,0.9374164810690422,0.9349665924276168,0.9351893095768373,0.9064587973273942,0.8641425389755011,0.9420935412026726,0.9420935412026726,0.9354120267260579,0.4142538975501114,0.9398663697104677,0.933184855233853,0.8285077951002228
backprop,2,0.9665924276169265,0.9594654788418711,0.8841870824053452,0.777728285077951,0.9674832962138085,0.9581291759465479,0.8879732739420936,0.0,0.0,0.9688195991091314,0.9487750556792873,0.8507795100222717,0.19821826280623608,0.9354120267260579,0.37193763919821826,0.19821826280623608
backprop+L1 0.0001,2,0.9688195991091314,0.9492204899777281,0.8991091314031181,0.8182628062360802,0.9639198218262808,0.9505567928730512,0.8962138084632516,0.0,0.0,0.9688195991091314,0.9621380846325167,0.8351893095768375,0.27839643652561247,0.9643652561247216,0.7193763919821826,0.18485523385300667
backprop+L1 0.0003,2,0.9643652561247216,0.9554565701559021,0.9126948775055679,0.8195991091314031,0.9639198218262808,0.9458797327394208,0.8955456570155901,0.0,0.0,0.9665924276169265,0.9398663697104677,0.9287305122494433,0.2806236080178174,0.9576837416481069,0.7951002227171492,0.42538975501113585
backprop+L1 0.001,2,0.955456570155902,0.943207126948775,0.8993318485523385,0.8011135857461025,0.9561247216035638,0.9287305122494433,0.8469933184855234,0.0,0.0,0.9621380846325167,0.933184855233853,0.779510022271715,0.10244988864142539,0.9576837416481069,0.9042316258351893,0.48775055679287305
backprop+L1 0.003,2,0.9576837416481069,0.9443207126948774,0.8899777282850782,0.7971046770601337,0.9552338530066816,0.9037861915367482,0.7761692650334076,0.011135857461024499,0.0,0.9621380846325167,0.9599109131403119,0.7973273942093542,0.16926503340757237,0.9576837416481069,0.9287305122494433,0.7104677060133631
weight-noise const,2,0.9710467706013363,0.9579064587973274,0.8850779510022271,0.7672605790645879,0.9719376391982184,0.9661469933184856,0.9398663697104676,0.0,0.0,0.9755011135857461,0.9599109131403119,0.8574610244988864,0.17817371937639198,0.9621380846325167,0.32516703786191536,0.1492204899777283
interval const,2,0.9398663697104677,0.9062360801781738,0.7866369710467706,0.64543429844098,0.939643652561247,0.9378619153674832,0.9336302895322939,0.9086859688195991,0.8619153674832962,0.9376391982182628,0.9376391982182628,0.9042316258351893,0.3363028953229399,0.9354120267260579,0.9020044543429844,0.7461024498886414
backprop,3,0.9710467706013363,0.9476614699331847,0.8795100222717149,0.7534521158129176,0.969487750556793,0.9552338530066816,0.8984409799554566,0.0,0.0,0.9710467706013363,0.9599109131403119,0.5701559020044543,0.0935412026726058,0.8418708240534521,0.46325167037861914,0.1091314031180401
backprop+L1 0.0001,3,0.9665924276169265,0.9530066815144768,0.9077951002227171,0.821826280623608,0.9688195991091316,0.9583518930957684,0.8906458797327395,0.0,0.0,0.9665924276169265,0.9688195991091314,0.7104677060133631,0.22494432071269488,0.9688195991091314,0.7616926503340757,0.24053452115812918
backprop+L1 0.0003,3,0.9665924276169265,0.9510022271714924,0.9086859688195992,0.8233853006681514,0.9654788418708241,0.9565701559020046,0.8977728285077952,0.0,0.0,0.9665924276169265,0.9510022271714922,0.8864142538975501,0.16481069042316257,0.9688195991091314,0.7906458797327395,0.40757238307349664
backprop+L1 0.001,3,0.9688195991091314,0.954120267260579,0.9077951002227171,0.8135857461024498,0.9661469933184856,0.9507795100222719,0.8766146993318487,0.0,0.0,0.9665924276169265,0.9487750556792873,0.6926503340757239,0.0378619153674833,0.9688195991091314,0.8262806236080178,0.512249443207127
backprop+L1 0.003,3,0.9443207126948775,0.9285077951002225,0.8775055679287306,0.7866369710467704,0.9407572383073497,0.9022271714922049,0.788641425389755,0.0,0.0,0.9443207126948775,0.8574610244988864,0.8040089086859689,0.0779510022271715,0.9443207126948775,0.8930957683741648,0.5100222717149221
weight-noise const,3,0.9443207126948775,0.9175946547884186,0.8394209354120268,0.7249443207126949,0.942316258351893,0.9253897550111357,0.8962138084632516,0.0,0.0,0.9487750556792873,0.9020044543429844,0.8619153674832962,0.0935412026726058,0.8507795100222717,0.5211581291759465,0.19599109131403117
interval const,3,0.8552338530066815,0.8403118040089087,0.7405345211581291,0.6064587973273943,0.8559020044543428,0.8570155902004455,0.8561247216035636,0.8374164810690423,0.7884187082405345,0.8596881959910914,0.8418708240534521,0.8040089086859689,0.33184855233853006,0.8574610244988864,0.8285077951002228,0.7060133630289532
backprop,4,0.9821826280623608,0.9590200445434298,0.8971046770601336,0.764142538975501,0.9799554565701559,0.9679287305122495,0.9307349665924276,0.0,0.0,0.9799554565701559,0.9665924276169265,0.8663697104677061,0.15367483296213807,0.9465478841870824,0.47216035634743875,0.2650334075723831
backprop+L1 0.0001,4,0.977728285077951,0.9670378619153676,0.924944320712695,0.8409799554565701,0.9766146993318486,0.966815144766147,0.9336302895322941,0.0,0.0,0.9755011135857461,0.9576837416481069,0.9198218262806236,0.28507795100222716,0.9621380846325167,0.7104677060133631,0.30957683741648107
backprop+L1 0.0003,4,0.9755011135857461,0.9694877505567929,0.9267260579064589,0.8440979955456571,0.9779510022271716,0.9679287305122495,0.9356347438752783,0.0,0.0,0.977728285077951,0.9755011135857461,0.7483296213808464,0.0757238307349666,0.9821826280623608,0.8240534521158129,0.3897550111358575
backprop+L1 0.001,4,0.9732739420935412,0.9596881959910915,0.9140311804008908,0.8247216035634743,0.9697104677060133,0.9534521158129177,0.9015590200445436,0.0,0.0,0.9732739420935412,0.9599109131403119,0.8062360801781737,0.10690423162583519,0.9688195991091314,0.933184855233853,0.77728285077951
backprop+L1 0.003,4,0.9532293986636972,0.9307349665924276,0.8746102449888641,0.7877505567928731,0.9416481069042314,0.8875278396436526,0.7875278396436526,0.0,0.0,0.9599109131403119,0.9020044543429844,0.6815144766146993,0.06904231625835189,0.9510022271714922,0.844097995545657,0.7639198218262806
weight-noise const,4,0.9844097995545658,0.9674832962138085,0.8955456570155901,0.7565701559020044,0.9815144766146995,0.9730512249443208,0.9369710467706014,0.0,0.0,0.9821826280623608,0.9821826280623608,0.8819599109131403,0.062360801781737196,0.9487750556792873,0.4142538975501114,0.24498886414253898
interval const,4,0.9376391982182628,0.8959910913140312,0.7614699331848552,0.6040089086859688,0.9383073496659241,0.9311804008908686,0.9273942093541201,0.9198218262806236,0.8663697104677061,0.9398663697104677,0.9265033407572383,0.8953229398663697,0.18262806236080179,0.9354120267260579,0.9287305122494433,0.7438752783964365
backprop,5,0.9821826280623608,0.9625835189309578,0.9031180400890868,0.7979955456570156,0.9777282850779511,0.9697104677060135,0.9316258351893095,0.0,0.0,0.9799554565701559,0.9710467706013363,0.9175946547884187,0.1358574610244989,0.9443207126948775,0.41202672605790647,0.18930957683741648
backprop+L1 0.0001,5,0.977728285077951,0.9672605790645882,0.9233853006681514,0.8414253897550111,0.9795100222717149,0.9737193763919822,0.9447661469933184,0.0,0.0,0.9799554565701559,0.977728285077951,0.89086859688196,0.133630289532294,0.977728285077951,0.5924276169265034,0.35412026726057905
backprop+L1 0.0003,5,0.9732739420935412,0.9634743875278398,0.9218262806236079,0.8449888641425389,0.9721603563474389,0.9648106904231627,0.9298440979955457,0.0,0.0,0.9688195991091314,0.9599109131403119,0.910913140311804,0.155902004454343,0.9732739420935412,0.8329621380846325,0.3674832962138085
backprop+L1 0.001,5,0.9643652561247216,0.955902004454343,0.9093541202672606,0.8309576837416482,0.966815144766147,0.9416481069042316,0.8988864142538976,0.0,0.0,0.9665924276169265,0.9443207126948775,0.8708240534521158,0.0957683741648107,0.9665924276169265,0.9420935412026726,0.45434298440979953
