config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop,0,0.9844097995545658,0.9630289532293987,0.8884187082405346,0.7723830734966592,0.9841870824053454,0.9674832962138085,0.9,0.0,0.0,0.9844097995545658,0.9755011135857461,0.8374164810690423,0.18040089086859687,0.8685968819599109,0.27839643652561247,0.22939866369710468
backprop+noise,0,0.9821826280623608,0.9795100222717149,0.9612472160356347,0.9051224944320714,0.9815144766146995,0.9763919821826281,0.9543429844097997,0.0,0.0,0.9821826280623608,0.9688195991091314,0.8418708240534521,0.2182628062360802,0.9643652561247216,0.46325167037861914,0.22717149220489977
interval const,0,0.9443207126948775,0.9004454342984409,0.7674832962138085,0.6162583518930957,0.9429844097995543,0.9367483296213808,0.9334075723830735,0.888641425389755,0.8195991091314031,0.9443207126948775,0.9265033407572383,0.8619153674832962,0.44097995545657015,0.9376391982182628,0.8930957683741648,0.8084632516703786
interval inc,0,0.977728285077951,0.956347438752784,0.8752783964365257,0.7412026726057906,0.9768374164810691,0.9739420935412028,0.9616926503340759,0.933184855233853,0.8262806236080178,0.977728285077951,0.9732739420935412,0.955456570155902,0.10244988864142539,0.9732739420935412,0.9309576837416481,0.5857461024498887
interval dec,0,0.7750556792873051,0.7405345211581291,0.6178173719376393,0.5253897550111358,0.778173719376392,0.7783964365256124,0.7806236080178173,0.7416481069042317,0.6547884187082406,0.8151447661469933,0.799554565701559,0.799554565701559,0.1915367483296214,0.8062360801781737,0.799554565701559,0.7060133630289532
weight-noise const,0,0.9844097995545658,0.9630289532293987,0.8971046770601336,0.777728285077951,0.9835189309576838,0.9701559020044546,0.9218262806236079,0.0,0.0,0.9821826280623608,0.9665924276169265,0.9354120267260579,0.15367483296213807,0.9131403118040089,0.3429844097995546,0.2182628062360802
weight-noise inc,0,0.9866369710467706,0.9641425389755012,0.8924276169265033,0.776837416481069,0.9848552338530068,0.9748329621380847,0.9302895322939865,0.0,0.0,0.9844097995545658,0.977728285077951,0.9465478841870824,0.13140311804008908,0.910913140311804,0.3830734966592428,0.22271714922049
interval+box const,0,0.7305122494432071,0.7138084632516704,0.6726057906458798,0.6069042316258351,0.7249443207126948,0.722271714922049,0.7133630289532293,0.6815144766146993,0.6458797327394209,0.7282850779510023,0.7282850779510023,0.7015590200445434,0.1870824053452116,0.7305122494432071,0.7216035634743875,0.7015590200445434
interval+box inc,0,0.9086859688195991,0.9037861915367482,0.8636971046770603,0.7806236080178174,0.9135857461024498,0.9069042316258352,0.9,0.8752783964365256,0.7928730512249443,0.9131403118040089,0.9086859688195991,0.8641425389755011,0.18485523385300667,0.9131403118040089,0.9042316258351893,0.8173719376391982
interval+box dec,0,0.6325167037861915,0.6169265033407573,0.5859688195991091,0.5260579064587974,0.6325167037861916,0.6229398663697104,0.6184855233853007,0.5634743875278396,0.48997772828507796,0.6258351893095768,0.6391982182628062,0.6191536748329621,0.22271714922049,0.6280623608017817,0.6347438752783965,0.6124721603563474
