config,clean,clean_std,noise0.1,noise0.1_std,noise0.2,noise0.2_std,noise0.3,noise0.3_std,wnoise0.1,wnoise0.1_std,wnoise0.3,wnoise0.3_std,wnoise0.5,wnoise0.5_std,cert0.05,cert0.05_std,cert0.1,cert0.1_std,q6,q6_std,q4,q4_std,q3,q3_std,q2,q2_std,p0.5,p0.5_std,p0.8,p0.8_std,p0.9,p0.9_std
backprop,0.9766,0.0071,0.959,0.0047,0.8922,0.0095,0.7738,0.0173,0.9745,0.0057,0.9623,0.005,0.9164,0.0152,0.0,0.0,0.0,0.0,0.9762,0.0066,0.9659,0.008,0.8163,0.1063,0.153,0.0599,0.9229,0.039,0.4205,0.1163,0.1837,0.0578
backprop+noise,0.9793,0.0045,0.9762,0.0048,0.9539,0.0088,0.8979,0.0124,0.9791,0.0039,0.974,0.006,0.9498,0.0066,0.0,0.0,0.0,0.0,0.98,0.0042,0.9753,0.0054,0.9011,0.0351,0.1584,0.0497,0.9608,0.016,0.498,0.0849,0.1931,0.0462
interval const,0.9321,0.0275,0.8994,0.0214,0.7778,0.0188,0.6309,0.0189,0.9329,0.0273,0.9312,0.0265,0.9275,0.0256,0.9047,0.0261,0.8499,0.0273,0.9334,0.0261,0.9265,0.0305,0.8822,0.044,0.3292,0.0812,0.9301,0.0258,0.8842,0.0398,0.7543,0.0627
interval inc,0.9753,0.0037,0.9565,0.0043,0.8743,0.0079,0.7387,0.018,0.9751,0.0027,0.9724,0.0029,0.9658,0.0036,0.9396,0.0088,0.8245,0.0208,0.9757,0.0046,0.9677,0.0053,0.9345,0.0167,0.1693,0.0796,0.9708,0.006,0.8737,0.0494,0.5764,0.1181
interval dec,0.867,0.0512,0.8168,0.0464,0.6767,0.0403,0.549,0.0299,0.8669,0.0506,0.8663,0.0494,0.8604,0.0482,0.8365,0.0508,0.7811,0.0562,0.869,0.0436,0.8659,0.0439,0.8412,0.0467,0.2915,0.0891,0.8673,0.0435,0.8532,0.0463,0.8078,0.0497
weight-noise const,0.9751,0.0123,0.9586,0.0149,0.8894,0.021,0.7692,0.027,0.9741,0.012,0.9651,0.0143,0.9359,0.0161,0.0,0.0,0.0,0.0,0.9753,0.0101,0.9628,0.0227,0.8873,0.0531,0.1452,0.0721,0.9394,0.0348,0.4668,0.0983,0.208,0.0452
weight-noise inc,0.9771,0.0048,0.96,0.0067,0.893,0.0171,0.7706,0.0268,0.9756,0.0049,0.9684,0.0054,0.9413,0.0089,0.0,0.0,0.0,0.0,0.9753,0.0047,0.9713,0.0063,0.9087,0.0258,0.1401,0.0464,0.9472,0.0182,0.4597,0.1098,0.2087,0.0774
interval+box const,0.8033,0.0651,0.7925,0.0642,0.7522,0.0565,0.6737,0.0487,0.8041,0.0649,0.8066,0.063,0.7955,0.0649,0.7653,0.0682,0.7076,0.0668,0.8085,0.0664,0.7935,0.0726,0.7942,0.0652,0.2091,0.0623,0.8085,0.0685,0.7996,0.0655,0.7793,0.0644
interval+box inc,0.9129,0.0363,0.9051,0.035,0.8697,0.0345,0.7868,0.0291,0.9133,0.035,0.9092,0.0348,0.9024,0.0317,0.8793,0.0355,0.8056,0.031,0.9122,0.0368,0.9087,0.0357,0.871,0.0455,0.1595,0.0771,0.9127,0.0354,0.902,0.0322,0.8281,0.0388
interval+box dec,0.7136,0.092,0.7025,0.0865,0.6591,0.0741,0.5947,0.0636,0.7127,0.0895,0.7111,0.0891,0.7016,0.0862,0.6748,0.0878,0.6098,0.0752,0.7125,0.0897,0.6984,0.0977,0.649,0.0782,0.2731,0.1147,0.7129,0.0899,0.6869,0.0903,0.6388,0.0777
