config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop,0,0.9844097995545658,0.9630289532293987,0.8884187082405346,0.7723830734966592,0.9841870824053454,0.9674832962138085,0.9,0.0,0.0,0.9844097995545658,0.9755011135857461,0.8374164810690423,0.18040089086859687,0.8685968819599109,0.27839643652561247,0.22939866369710468
backprop+noise,0,0.9821826280623608,0.9795100222717149,0.9612472160356347,0.9051224944320714,0.9815144766146995,0.9763919821826281,0.9543429844097997,0.0,0.0,0.9821826280623608,0.9688195991091314,0.8418708240534521,0.2182628062360802,0.9643652561247216,0.46325167037861914,0.22717149220489977
interval const,0,0.9443207126948775,0.9004454342984409,0.7674832962138085,0.6162583518930957,0.9429844097995543,0.9367483296213808,0.9334075723830735,0.888641425389755,0.8195991091314031,0.9443207126948775,0.9265033407572383,0.8619153674832962,0.44097995545657015,0.9376391982182628,0.8930957683741648,0.8084632516703786
interval inc,0,0.9732739420935412,0.949443207126949,0.8505567928730512,0.7109131403118041,0.9714922048997774,0.966815144766147,0.9616926503340759,0.9309576837416481,0.8841870824053452,0.9710467706013363,0.9510022271714922,0.9153674832962138,0.08685968819599109,0.955456570155902,0.8730512249443207,0.7015590200445434
interval dec,0,0.9510022271714922,0.9173719376391981,0.7868596881959912,0.6285077951002227,0.9510022271714924,0.9483296213808463,0.9342984409799554,0.9086859688195991,0.8374164810690423,0.9487750556792873,0.9398663697104677,0.8062360801781737,0.3429844097995546,0.9443207126948775,0.844097995545657,0.8195991091314031
weight-noise const,0,0.9844097995545658,0.9630289532293987,0.8971046770601336,0.777728285077951,0.9835189309576838,0.9701559020044546,0.9218262806236079,0.0,0.0,0.9821826280623608,0.9665924276169265,0.9354120267260579,0.15367483296213807,0.9131403118040089,0.3429844097995546,0.2182628062360802
weight-noise inc,0,0.9844097995545658,0.966369710467706,0.8973273942093541,0.7732739420935413,0.9844097995545658,0.979064587973274,0.9416481069042314,0.0,0.0,0.9844097995545658,0.977728285077951,0.9398663697104677,0.1714922048997773,0.9398663697104677,0.3585746102449889,0.21158129175946547
interval+box const,0,0.7305122494432071,0.7138084632516704,0.6726057906458798,0.6069042316258351,0.7249443207126948,0.722271714922049,0.7133630289532293,0.6815144766146993,0.6458797327394209,0.7282850779510023,0.7282850779510023,0.7015590200445434,0.1870824053452116,0.7305122494432071,0.7216035634743875,0.7015590200445434
interval+box inc,0,0.8307349665924276,0.8233853006681514,0.7861915367483296,0.7066815144766148,0.8285077951002228,0.8320712694877506,0.8133630289532293,0.799554565701559,0.7639198218262806,0.821826280623608,0.8151447661469933,0.7483296213808464,0.311804008908686,0.8195991091314031,0.8084632516703786,0.779510022271715
interval+box dec,0,0.7193763919821826,0.7193763919821826,0.6835189309576838,0.6138084632516705,0.7167037861915366,0.7184855233853005,0.7211581291759466,0.6859688195991092,0.6347438752783965,0.7193763919821826,0.7216035634743875,0.7060133630289532,0.26057906458797325,0.7216035634743875,0.7015590200445434,0.6971046770601337
