config,clean,clean_std,noise0.1,noise0.1_std,noise0.2,noise0.2_std,noise0.3,noise0.3_std,wnoise0.1,wnoise0.1_std,wnoise0.3,wnoise0.3_std,wnoise0.5,wnoise0.5_std,cert0.05,cert0.05_std,cert0.1,cert0.1_std,q6,q6_std,q4,q4_std,q3,q3_std,q2,q2_std,p0.5,p0.5_std,p0.8,p0.8_std,p0.9,p0.9_std
backprop,0.9766,0.0071,0.959,0.0047,0.8922,0.0095,0.7738,0.0173,0.9745,0.0057,0.9623,0.005,0.9164,0.0152,0.0,0.0,0.0,0.0,0.9762,0.0066,0.9659,0.008,0.8163,0.1063,0.153,0.0599,0.9229,0.039,0.4205,0.1163,0.1837,0.0578
backprop+noise,0.9793,0.0045,0.9762,0.0048,0.9539,0.0088,0.8979,0.0124,0.9791,0.0039,0.974,0.006,0.9498,0.0066,0.0,0.0,0.0,0.0,0.98,0.0042,0.9753,0.0054,0.9011,0.0351,0.1584,0.0497,0.9608,0.016,0.498,0.0849,0.1931,0.0462
interval const,0.9321,0.0275,0.8994,0.0214,0.7778,0.0188,0.6309,0.0189,0.9329,0.0273,0.9312,0.0265,0.9275,0.0256,0.9047,0.0261,0.8499,0.0273,0.9334,0.0261,0.9265,0.0305,0.8822,0.044,0.3292,0.0812,0.9301,0.0258,0.8842,0.0398,0.7543,0.0627
interval inc,0.9541,0.015,0.9313,0.014,0.8279,0.0149,0.6785,0.0229,0.9542,0.0149,0.9505,0.0136,0.9443,0.012,0.9216,0.0152,0.8561,0.0227,0.9519,0.0151,0.9432,0.0166,0.8996,0.0239,0.1519,0.0886,0.9472,0.0156,0.8568,0.0489,0.6156,0.1139
interval dec,0.9432,0.0067,0.9076,0.008,0.7835,0.0146,0.6343,0.0148,0.9429,0.0066,0.9412,0.0052,0.9364,0.0066,0.9154,0.01,0.8552,0.0207,0.9437,0.0086,0.9367,0.0095,0.8837,0.0382,0.3483,0.0693,0.9403,0.0069,0.9067,0.0256,0.8078,0.0369
weight-noise const,0.9751,0.0123,0.9586,0.0149,0.8894,0.021,0.7692,0.027,0.9741,0.012,0.9651,0.0143,0.9359,0.0161,0.0,0.0,0.0,0.0,0.9753,0.0101,0.9628,0.0227,0.8873,0.0531,0.1452,0.0721,0.9394,0.0348,0.4668,0.0983,0.208,0.0452
weight-noise inc,0.9775,0.0052,0.962,0.0067,0.8941,0.015,0.769,0.0233,0.9777,0.0044,0.9706,0.0059,0.9489,0.0091,0.0,0.0,0.0,0.0,0.978,0.0043,0.9684,0.0085,0.9022,0.0286,0.145,0.0383,0.9499,0.0165,0.4263,0.0777,0.2303,0.0684
interval+box const,0.8033,0.0651,0.7925,0.0642,0.7522,0.0565,0.6737,0.0487,0.8041,0.0649,0.8066,0.063,0.7955,0.0649,0.7653,0.0682,0.7076,0.0668,0.8085,0.0664,0.7935,0.0726,0.7942,0.0652,0.2091,0.0623,0.8085,0.0685,0.7996,0.0655,0.7793,0.0644
interval+box inc,0.8214,0.0565,0.813,0.0548,0.7788,0.0481,0.6992,0.0431,0.821,0.0566,0.8195,0.0557,0.8081,0.0536,0.7955,0.054,0.7432,0.0468,0.8225,0.0556,0.8147,0.0543,0.7457,0.057,0.2203,0.0679,0.8209,0.0547,0.8114,0.0552,0.7552,0.0785
interval+box dec,0.8229,0.0609,0.8145,0.0576,0.7665,0.0479,0.6866,0.0431,0.8219,0.06,0.8165,0.0571,0.8081,0.0545,0.78,0.0555,0.7105,0.0613,0.822,0.0598,0.818,0.0576,0.7759,0.0575,0.2744,0.0866,0.8229,0.0592,0.8053,0.0618,0.7595,0.0679
