config,seed,clean,cert0.02,attack0.02,cert0.05,attack0.05,cert0.1,attack0.1
backprop,0,0.99,0.0,0.89,0.0,0.43,0.0,0.015
weight-noise 0.15,0,0.995,0.0,0.91,0.0,0.415,0.0,0.005
interval const 0.05,0,0.985,0.975,0.98,0.945,0.95,0.745,0.9
interval const 0.1,0,0.995,0.99,0.99,0.985,0.985,0.92,0.96
interval const 0.15,0,0.96,0.95,0.95,0.94,0.94,0.915,0.92
backprop,1,0.97,0.005,0.87,0.0,0.385,0.0,0.005
weight-noise 0.15,1,0.98,0.005,0.915,0.0,0.48,0.0,0.025
interval const 0.05,1,0.985,0.98,0.98,0.96,0.97,0.765,0.93
interval const 0.1,1,0.995,0.985,0.985,0.965,0.975,0.915,0.95
interval const 0.15,1,0.935,0.93,0.93,0.92,0.925,0.905,0.915
backprop,2,0.99,0.0,0.93,0.0,0.53,0.0,0.01
weight-noise 0.15,2,0.975,0.0,0.86,0.0,0.42,0.0,0.01
interval const 0.05,2,0.99,0.99,0.99,0.97,0.98,0.78,0.945
interval const 0.1,2,0.995,0.995,0.995,0.975,0.98,0.93,0.955
interval const 0.15,2,0.93,0.93,0.93,0.91,0.925,0.9,0.905
