depth,n_weights,seed,clean,cert0.05,attack0.05,gap0.05,cert0.1,attack0.1,gap0.1
4,9024,0,0.9866369710467706,0.9465478841870824,0.96,0.013452115812917609,0.8106904231625836,0.92,0.10930957683741649
6,17216,0,0.9821826280623608,0.9420935412026726,0.96,0.01790645879732733,0.8084632516703786,0.9066666666666666,0.09820341499628804
8,25408,0,0.9242761692650334,0.7572383073496659,0.8733333333333333,0.11609502598366739,0.16258351893095768,0.58,0.4174164810690423
10,33600,0,0.08685968819599109,0.08685968819599109,0.09333333333333334,0.006473645137342249,0.08685968819599109,0.09333333333333334,0.006473645137342249
4,9024,1,0.9844097995545658,0.9510022271714922,0.9333333333333333,-0.01766889383815884,0.8507795100222717,0.9133333333333333,0.06255382331106163
6,17216,1,0.9755011135857461,0.9465478841870824,0.9266666666666666,-0.019881217520415717,0.844097995545657,0.9133333333333333,0.06923533778767632
8,25408,1,0.9309576837416481,0.6258351893095768,0.76,0.1341648106904232,0.1915367483296214,0.43333333333333335,0.24179658500371196
10,33600,1,0.0757238307349666,0.0757238307349666,0.06666666666666667,-0.009057164068299928,0.0757238307349666,0.06666666666666667,-0.009057164068299928
4,9024,2,0.9844097995545658,0.933184855233853,0.9266666666666666,-0.006518188567186334,0.7928730512249443,0.9,0.10712694877505569
6,17216,2,0.9844097995545658,0.9532293986636972,0.9333333333333333,-0.01989606533036381,0.8151447661469933,0.9133333333333333,0.09818856718634006
8,25408,2,0.9576837416481069,0.734966592427617,0.7733333333333333,0.038366740905716346,0.4053452115812918,0.6466666666666666,0.24132145508537484
10,33600,2,0.3830734966592428,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0
4,9024,3,0.9799554565701559,0.9510022271714922,0.98,0.028997772828507795,0.7906458797327395,0.9133333333333333,0.12268745360059385
6,17216,3,0.9755011135857461,0.9420935412026726,0.96,0.01790645879732733,0.7928730512249443,0.9066666666666666,0.11379361544172228
8,25408,3,0.9621380846325167,0.8752783964365256,0.9066666666666666,0.03138827023014101,0.5991091314031181,0.84,0.2408908685968819
10,33600,3,0.2806236080178174,0.0801781737193764,0.17333333333333334,0.09315515961395694,0.0,0.08666666666666667,0.08666666666666667
4,9024,4,0.9821826280623608,0.9487750556792873,0.9533333333333334,0.004558277654046039,0.8240534521158129,0.92,0.0959465478841871
6,17216,4,0.9844097995545658,0.9443207126948775,0.9533333333333334,0.00901262063845587,0.8129175946547884,0.8866666666666667,0.0737490720118783
8,25408,4,0.9688195991091314,0.9064587973273942,0.9133333333333333,0.006874536005939125,0.688195991091314,0.8666666666666667,0.17847067557535268
10,33600,4,0.06904231625835189,0.06904231625835189,0.06666666666666667,-0.002375649591685222,0.06904231625835189,0.06666666666666667,-0.002375649591685222
