config,seed,clean,wnoise0.1,wnoise0.3,wnoise0.5,q4,q3,q2,p0.5,p0.8,p0.9,cert0.05,attack0.05,cert0.1,attack0.1
backprop,0,0.9844097995545658,0.9830734966592429,0.9628062360801783,0.897327394209354,0.9755011135857461,0.8374164810690423,0.18040089086859687,0.8685968819599109,0.27839643652561247,0.22939866369710468,0.0,0.0,0.0,0.0
weight-noise-0.1,0,0.9844097995545658,0.9812917594654789,0.9679287305122495,0.9167037861915368,0.9799554565701559,0.9510022271714922,0.12472160356347439,0.9420935412026726,0.37193763919821826,0.20044543429844097,0.0,0.006666666666666667,0.0,0.0
interval-const-0.1,0,0.9755011135857461,0.97728285077951,0.9759465478841871,0.9685968819599109,0.9688195991091314,0.9265033407572383,0.22494432071269488,0.977728285077951,0.9465478841870824,0.7282850779510023,0.9420935412026726,0.9666666666666667,0.8552338530066815,0.9266666666666666
pni,0,0.9844097995545658,0.9866369710467706,0.9775055679287306,0.9396436525612473,0.9799554565701559,0.9443207126948775,0.2026726057906459,0.9420935412026726,0.35634743875278396,0.36080178173719374,0.0,0.06666666666666667,0.0,0.0
bbb,0,0.9888641425389755,0.9875278396436526,0.9795100222717149,0.9610244988864141,0.9866369710467706,0.9443207126948775,0.29175946547884185,0.9621380846325167,0.5902004454342984,0.2984409799554566,nan,nan,nan,nan
backprop,1,0.9665924276169265,0.9679287305122495,0.9596881959910913,0.9262806236080177,0.9643652561247216,0.8084632516703786,0.0801781737193764,0.9643652561247216,0.5879732739420935,0.133630289532294,0.0,0.0,0.0,0.0
weight-noise-0.1,1,0.9710467706013363,0.9717149220489979,0.9632516703786193,0.9371937639198219,0.9665924276169265,0.8574610244988864,0.12694877505567928,0.9665924276169265,0.5211581291759465,0.16481069042316257,0.0,0.006666666666666667,0.0,0.0
interval-const-0.1,1,0.9821826280623608,0.9821826280623608,0.9766146993318486,0.9665924276169265,0.9643652561247216,0.9309576837416481,0.22939866369710468,0.9710467706013363,0.9198218262806236,0.6146993318485523,0.9443207126948775,0.94,0.8552338530066815,0.9066666666666666
pni,1,0.977728285077951,0.9757238307349667,0.970378619153675,0.9512249443207127,0.9710467706013363,0.8619153674832962,0.13140311804008908,0.9576837416481069,0.44766146993318484,0.0779510022271715,0.0,0.1,0.0,0.0
bbb,1,0.9755011135857461,0.9748329621380847,0.9719376391982184,0.9641425389755012,0.9799554565701559,0.9599109131403119,0.1514476614699332,0.9510022271714922,0.6280623608017817,0.11581291759465479,nan,nan,nan,nan
backprop,2,0.9665924276169265,0.9714922048997774,0.959910913140312,0.9273942093541201,0.9487750556792873,0.8507795100222717,0.19821826280623608,0.9354120267260579,0.37193763919821826,0.19821826280623608,0.0,0.006666666666666667,0.0,0.0
weight-noise-0.1,2,0.9755011135857461,0.9737193763919822,0.9628062360801783,0.9360801781737192,0.9643652561247216,0.755011135857461,0.12694877505567928,0.955456570155902,0.4298440979955457,0.13140311804008908,0.0,0.006666666666666667,0.0,0.0
interval-const-0.1,2,0.9665924276169265,0.9643652561247217,0.9661469933184856,0.9623608017817373,0.9665924276169265,0.9510022271714922,0.2583518930957684,0.9665924276169265,0.8997772828507795,0.5211581291759465,0.9443207126948775,0.9133333333333333,0.8463251670378619,0.8933333333333333
pni,2,0.9799554565701559,0.9783964365256125,0.9665924276169265,0.95456570155902,0.9688195991091314,0.9532293986636972,0.20935412026726058,0.9665924276169265,0.4209354120267261,0.25389755011135856,0.0,0.07333333333333333,0.0,0.0
bbb,2,0.9799554565701559,0.979064587973274,0.9706013363028955,0.9583518930957684,0.9755011135857461,0.9354120267260579,0.2984409799554566,0.9665924276169265,0.7282850779510023,0.4142538975501114,nan,nan,nan,nan
backprop,3,0.9710467706013363,0.9674832962138085,0.9538975501113587,0.9026726057906458,0.9599109131403119,0.5701559020044543,0.0935412026726058,0.8418708240534521,0.46325167037861914,0.1091314031180401,0.0,0.0,0.0,0.0
weight-noise-0.1,3,0.9688195991091314,0.9719376391982184,0.9601336302895325,0.9258351893095768,0.9688195991091314,0.7438752783964365,0.10467706013363029,0.9153674832962138,0.3184855233853007,0.14253897550111358,0.0,0.02,0.0,0.0
interval-const-0.1,3,0.9665924276169265,0.966369710467706,0.9648106904231627,0.9643652561247217,0.9688195991091314,0.8997772828507795,0.24276169265033407,0.9621380846325167,0.8930957683741648,0.6102449888641426,0.9265033407572383,0.9666666666666667,0.8129175946547884,0.9466666666666667
pni,3,0.9755011135857461,0.9734966592427619,0.9679287305122495,0.9469933184855235,0.9755011135857461,0.8841870824053452,0.1358574610244989,0.9175946547884187,0.45657015590200445,0.17817371937639198,0.0,0.02666666666666667,0.0,0.0
bbb,3,0.9755011135857461,0.9737193763919822,0.9659242761692651,0.9483296213808463,0.9599109131403119,0.9510022271714922,0.133630289532294,0.9510022271714922,0.6057906458797327,0.35412026726057905,nan,nan,nan,nan
backprop,4,0.9821826280623608,0.9775055679287306,0.9625835189309578,0.9316258351893095,0.9665924276169265,0.8663697104677061,0.15367483296213807,0.9465478841870824,0.47216035634743875,0.2650334075723831,0.0,0.0,0.0,0.0
weight-noise-0.1,4,0.9755011135857461,0.9755011135857462,0.9628062360801783,0.939643652561247,0.9688195991091314,0.8084632516703786,0.1870824053452116,0.9376391982182628,0.37861915367483295,0.2182628062360802,0.0,0.0,0.0,0.0
interval-const-0.1,4,0.9821826280623608,0.981291759465479,0.9795100222717149,0.9723830734966594,0.9799554565701559,0.8463251670378619,0.2984409799554566,0.9821826280623608,0.8307349665924276,0.3585746102449889,0.9532293986636972,0.96,0.8596881959910914,0.9133333333333333
pni,4,0.9755011135857461,0.9755011135857462,0.9706013363028955,0.956347438752784,0.9732739420935412,0.9532293986636972,0.155902004454343,0.9532293986636972,0.6636971046770601,0.20489977728285078,0.0,0.1,0.0,0.0
bbb,4,0.9732739420935412,0.9739420935412028,0.9672605790645881,0.9530066815144765,0.9710467706013363,0.9621380846325167,0.35634743875278396,0.9621380846325167,0.8129175946547884,0.5100222717149221,nan,nan,nan,nan
