config,family,rho_train,seed,clean,cert0.01,cert0.02,cert0.05,cert0.1,cert0.15,cert0.2,cert0.3
backprop,backprop,,0,0.9844097995545658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,0,0.9844097995545658,0.0022271714922048997,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,0,0.9799554565701559,0.9599109131403119,0.9042316258351893,0.34966592427616927,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,0,0.9799554565701559,0.955456570155902,0.888641425389755,0.14253897550111358,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,0,0.9844097995545658,0.9755011135857461,0.9576837416481069,0.8930957683741648,0.27839643652561247,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,0,0.9799554565701559,0.9710467706013363,0.9576837416481069,0.8507795100222717,0.11358574610244988,0.0,0.0,0.0
interval const 0.1,interval const,0.1,0,0.9755011135857461,0.9732739420935412,0.9710467706013363,0.9420935412026726,0.8552338530066815,0.39198218262806234,0.008908685968819599,0.0
interval inc 0.1,interval inc,0.1,0,0.9755011135857461,0.9710467706013363,0.955456570155902,0.9287305122494433,0.8040089086859689,0.32962138084632514,0.004454342984409799,0.0
interval const 0.15,interval const,0.15,0,0.9443207126948775,0.9420935412026726,0.9265033407572383,0.888641425389755,0.8195991091314031,0.7260579064587973,0.3051224944320713,0.0
interval inc 0.15,interval inc,0.15,0,0.9732739420935412,0.9665924276169265,0.9599109131403119,0.9309576837416481,0.8841870824053452,0.7238307349665924,0.35634743875278396,0.0
interval const 0.2,interval const,0.2,0,0.8507795100222717,0.8463251670378619,0.8374164810690423,0.8240534521158129,0.77728285077951,0.7126948775055679,0.5991091314031181,0.0467706013363029
interval inc 0.2,interval inc,0.2,0,0.8262806236080178,0.8195991091314031,0.8173719376391982,0.799554565701559,0.7616926503340757,0.6792873051224945,0.534521158129176,0.022271714922048998
