config,family,rho_train,seed,clean,cert0.01,cert0.02,cert0.05,cert0.1,cert0.15,cert0.2,cert0.3
backprop,backprop,,0,0.9706,0.3464,0.0001,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,0,0.9725,0.3785,0.0009,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,0,0.9783,0.9678,0.9544,0.8433,0.0639,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,0,0.979,0.9709,0.9575,0.8676,0.1677,0.0,0.0,0.0
interval const 0.05,interval const,0.05,0,0.9745,0.9706,0.9654,0.9372,0.7551,0.0715,0.0001,0.0
interval inc 0.05,interval inc,0.05,0,0.9694,0.9656,0.9611,0.9459,0.8666,0.3902,0.0092,0.0
interval const 0.1,interval const,0.1,0,0.9615,0.9591,0.9555,0.9438,0.9054,0.7216,0.1085,0.0008
interval inc 0.1,interval inc,0.1,0,0.9252,0.9215,0.9182,0.9097,0.8865,0.8486,0.7443,0.1007
interval const 0.15,interval const,0.15,0,0.9312,0.9286,0.9263,0.9183,0.8947,0.8501,0.6301,0.01
interval inc 0.15,interval inc,0.15,0,0.6863,0.6854,0.683,0.6784,0.6714,0.6563,0.6364,0.5308
interval const 0.2,interval const,0.2,0,0.7115,0.7099,0.7085,0.7035,0.6919,0.6752,0.6529,0.3319
interval inc 0.2,interval inc,0.2,0,0.3636,0.3633,0.363,0.3615,0.3587,0.3557,0.3531,0.3451
interval const 0.3,interval const,0.3,0,0.4529,0.452,0.4515,0.4499,0.4473,0.4437,0.4393,0.4322
interval inc 0.3,interval inc,0.3,0,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
backprop,backprop,,1,0.9687,0.3289,0.0012,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,1,0.976,0.3753,0.0018,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,1,0.9787,0.9708,0.9556,0.8344,0.0701,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,1,0.9781,0.9713,0.96,0.8848,0.1741,0.0,0.0,0.0
interval const 0.05,interval const,0.05,1,0.9747,0.9698,0.9646,0.9369,0.7594,0.043,0.0001,0.0
